Emnekode	Emnenavn	Sted
BTEK391	Bacheloroppgave - Teknologidesign og ledelse	Gjøvik
SANT2900	Bacheloroppgave - sosialantropologi	Trondheim
IDG3910	Bacheloroppgave BIXD	Gjøvik
IDG3920	Bacheloroppgave BWU	Gjøvik
IDATA2900	Bacheloroppgave Bachelor i data	Ålesund
DCSG2900	Bacheloroppgave Bachelor i digital infrastruktur og cybersikkerhet	Gjøvik
DCST2900	Bacheloroppgave Bachelor i digital infrastruktur og cybersikkerhet	Trondheim
TØL3903	Bacheloroppgave CERN	Gjøvik
IELS3020	Bacheloroppgave Elektronisk systemingeniør	Trondheim
FLYT2910	Bacheloroppgave Flyingeniør	Trondheim
FENG2900	Bacheloroppgave Fornybar energi	Gjøvik
FENG2910	Bacheloroppgave Fornybar energi	Gjøvik
FENT2900	Bacheloroppgave Fornybar energi	Trondheim
FENT2910	Bacheloroppgave Fornybar energi	Trondheim
GEOM2900	Bacheloroppgave Geomatikk	Gjøvik
MASG2900	Bacheloroppgave Maskin	Gjøvik
MASG2910	Bacheloroppgave Maskin	Gjøvik
MAST2910	Bacheloroppgave Maskin	Trondheim
MASA2900	Bacheloroppgave Maskin	Ålesund
MAST2900	Bacheloroppgave Maskin	Trondheim
MAST2901	Bacheloroppgave Maskin (VVS)	Trondheim
MAST2911	Bacheloroppgave Maskin (VVS)	Trondheim
IELET2920	Bacheloroppgave automatisering	Trondheim
BYGG2910	Bacheloroppgave bygg	Gjøvik
BYGT2900	Bacheloroppgave bygg	Trondheim
BYGA2900	Bacheloroppgave bygg	Ålesund
BYGA2910	Bacheloroppgave bygg	Ålesund
BYGG2900	Bacheloroppgave bygg	Gjøvik
BYGT2910	Bacheloroppgave bygg	Gjøvik
IELET3001	Bacheloroppgave elektrifisering og digitalisering	Trondheim
IELEG2900	Bacheloroppgave elektronikk og sensorsystemer	Gjøvik
IELET2900	Bacheloroppgave elektronikk og sensorsystemer	Trondheim
IELET2910	Bacheloroppgave elkraftteknikk	Trondheim
IELEG2910	Bacheloroppgave elkraftteknikk	Gjøvik
BTA3002	Bacheloroppgave for Bioteknologi	Ålesund
MAST2920	Bacheloroppgave for internasjonale studenter innenfor maskinteknikk	Trondheim
GEOG2016	Bacheloroppgave for lektor i geografi	Trondheim
FENA2910	Bacheloroppgave fornybar energi	Ålesund
FENA2900	Bacheloroppgave fornybar energi	Ålesund
GEOM2910	Bacheloroppgave geomatikk	Gjøvik
BI3002	Bacheloroppgave havbruksingeniør	Trondheim
BMR3900	Bacheloroppgave havbruksingeniør	Trondheim
HBIOT2035	Bacheloroppgave i Bioingeniørfag	Trondheim
AF3035	Bacheloroppgave i Business Analytics	Trondheim
ALIT2900	Bacheloroppgave i allmenn litteraturvitenskap	Trondheim
ARK2003	Bacheloroppgave i arkeologi	Trondheim
LBAS3004	Bacheloroppgave i arkiv- og samlingsforvaltning	Trondheim
AUT2900	Bacheloroppgave i audiologi	Trondheim
BBV2900	Bacheloroppgave i barnevern	Trondheim
BEV2900	Bacheloroppgave i bevegelsesvitenskap	Trondheim
BI301305	Bacheloroppgave i bioingeniørfag	Ålesund
DRA2000	Bacheloroppgave i drama og teater	Trondheim
ENG2910	Bacheloroppgave i engelsk	Trondheim
ENG2900	Bacheloroppgave i engelsk for lektorstudenter	Trondheim
ETG2900	Bacheloroppgave i ergoterapi	Gjøvik
ETT2900	Bacheloroppgave i ergoterapi	Trondheim
